task_name,processing_time,samples_drawn,input_tokens,output_tokens,temperature
017c7c7b,10.85,10,876,11726,0.7
017c7c7b,11.98,10,876,11981,0.9
f25fbde4,18.81,10,1596,16714,0.1
f25fbde4,6.26,10,1596,8932,0.3
f25fbde4,10.74,10,1596,9434,0.5
f25fbde4,14.55,10,1596,15487,0.7
f25fbde4,16.69,10,1596,14410,0.9
9af7a82c,10.29,10,851,14185,0.1
9af7a82c,12.35,10,851,16160,0.3
9af7a82c,12.12,10,851,15662,0.5
9af7a82c,11.5,10,851,13289,0.7
9af7a82c,17.18,10,851,13020,0.9
ec883f72,18.25,10,2435,17748,0.1
ec883f72,18.13,10,2435,18551,0.3
ec883f72,23.96,10,2435,14382,0.5
ec883f72,19.61,10,2435,20070,0.7
ec883f72,16.94,10,2435,14153,0.9
9172f3a0,13.24,10,997,12393,0.1
9172f3a0,10.04,10,997,10633,0.3
9172f3a0,10.23,10,997,12234,0.5
9172f3a0,10.02,10,997,10593,0.7
9172f3a0,12.17,10,997,11854,0.9
6c434453,14.92,10,1657,14890,0.1
6c434453,18.75,10,1657,18192,0.3
6c434453,13.65,10,1657,14172,0.5
6c434453,14.71,10,1657,16246,0.7
6c434453,15.18,10,1657,19863,0.9
b9b7f026,17.1,10,2646,10363,0.1
b9b7f026,5.61,10,2646,6699,0.3
b9b7f026,17.53,10,2646,14957,0.5
b9b7f026,25.64,10,2646,16006,0.7
b9b7f026,17.07,10,2646,9878,0.9
36fdfd69,19.13,10,5007,27569,0.1
36fdfd69,21.19,10,5007,14450,0.3
36fdfd69,26.0,10,5007,14851,0.5
36fdfd69,18.58,10,5007,12950,0.7
36fdfd69,24.07,10,5007,14151,0.9
d22278a0,18.29,10,3257,16735,0.1
d22278a0,19.05,10,3257,17576,0.3
d22278a0,18.43,10,3257,20325,0.5
